Remote,Booth,Station,Line Name,Division
R001,A060,WHITEHALL ST,R1,BMT
R001,A058,WHITEHALL ST,R1,BMT
R001,R101S,SOUTH FERRY,R1,IRT
R002,A077,FULTON ST,ACJZ2345,BMT
R002,A081,FULTON ST,ACJZ2345,BMT
R002,A082,FULTON ST,ACJZ2345,BMT
R003,J025,CYPRESS HILLS,J,BMT
R004,J028,ELDERTS LANE,JZ,BMT
R005,J030,FOREST PARKWAY,J,BMT
R006,J031,WOODHAVEN BLVD,JZ,BMT
R006,J032,WOODHAVEN BLVD,JZ,BMT
R007,J034,104 ST,JZ,BMT
R008,J035,111 ST,J,BMT
R009,J037,121 ST,JZ,BMT
R010,N062A,42 ST-PA BUS TE,ACENQRS1237,IND
R010,N060,42 ST-PA BUS TE,ACENQRS1237,IND
R011,N063A,42 ST-PA BUS TE,ACENQRS1237,IND
R011,N062,42 ST-PA BUS TE,ACENQRS1237,IND
R011,N063,42 ST-PA BUS TE,ACENQRS1237,IND
R012,N067,34 ST-PENN STA,ACE,IND
R012,N065,34 ST-PENN STA,ACE,IND
R012,N068,34 ST-PENN STA,ACE,IND
R012,N070,34 ST-PENN STA,ACE,IND
R012,N072,34 ST-PENN STA,ACE,IND
R013,N071,34 ST-PENN STA,ACE,IND
R013,N069,34 ST-PENN STA,ACE,IND
R013,N073,34 ST-PENN STA,ACE,IND
R014,N095,FULTON ST,ACJZ2345,IND
R014,R205,FULTON ST,ACJZ2345,IRT
R014,R206,FULTON ST,2345ACJZ,IRT
R014,R208,FULTON ST,2345ACJZ,IRT
R014,R205A,FULTON ST,2345ACJZ,IRT
R015,N303,5 AVE-53 ST,EM,IND
R015,N304,5 AVE-53 ST,EM,IND
R016,N305A,LEXINGTON-53 ST,EM6,IND
R017,N306,LEXINGTON-53 ST,EM6,IND
R017,N305,LEXINGTON-53 ST,EM6,IND
R018,N324,ROOSEVELT AVE,EFMR7,IND
R018,N323,ROOSEVELT AVE,EFMR7,IND
R018,R525,74 ST-BROADWAY,EFMR7,IRT
R019,N343,JAMAICA-179 ST,F,IND
R019,N342,JAMAICA-179 ST,F,IND
R020,N500,47-50 ST-ROCK,BDFM,IND
R020,N501,47-50 ST-ROCK,BDFM,IND
R020,N501A,47-50 ST-ROCK,BDFM,IND
R021,N503,42 ST-BRYANT PK,BDFM7,IND
R021,N502,42 ST-BRYANT PK,BDFM7,IND
R021,N504,42 ST-BRYANT PK,BDFM7,IND
R022,N506,34 ST-HERALD SQ,BDFMNQR,IND
R022,A022,34 ST-HERALD SQ,BDFMNQR,BMT
